Down and Out,SuperViolent,12,411597.2,185951.4,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,331,Rockaiccc,18,404446.3,193964
Down and Out,651651646,1,381075.3,280834.7,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,780,#unknown,12,407802.8,246489
Down and Out,MrNhac,8,364596.8,432954.5,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,884,ZhanShen-BaiWan,10,366670.6,424545.8
Kar98k,651651646,1,421409.5,284009,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,651,GoldLee,12,363693.6,269831.2
Down and Out,Limbo_Yamato,8,370979.8,428151,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,884,chinaanyi,10,361221.8,425819.3
Kar98k,651651646,1,434681.4,281067.1,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,600,PiPiGoat,12,367543.2,249424.8
AKM,MrNhac,8,375674.3,444623.1,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,527,xiao-MMM,14,365746.3,440418.2
Down and Out,SuperViolent,12,399952,179802,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,331,#unknown,18,402157,188203.3
Win94,#unknown,11,315037.2,357087.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,415,#unknown,11,315037.2,357087.6
Down and Out,#unknown,12,431792.8,184813.7,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,133,#unknown,27,431640.2,185447
Win94,duongpc,8,376656.4,433869.2,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,293,WDXYJ,19,378991.8,445584.5
AKM,SylarBreak,23,438738.1,280966.6,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,121,MountainMo,20,439108.5,280929.3
Down and Out,651651646,1,398383.3,280131,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,268,#unknown,20,432857.9,278070.8
Falling,,,,,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,864,#unknown,11,308988.8,397375
AKM,#unknown,11,314694.8,357176.9,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,618,#unknown,11,314933.5,357130.6
Win94,#unknown,11,314835.7,357184,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,562,#unknown,11,314902.3,357083.8
Grenade,#unknown,3,510511.3,426254.8,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1197,#unknown,3,510892.3,426137
